Timestamp,SSID,RSSI,Channel
2025-04-13 10:33:21,SWARAJ,-56,6
2025-04-13 10:33:21,HEMLATA,-85,11
2025-04-13 10:33:21,Airtel_Nitin Rohom Patil,-86,3
2025-04-13 10:33:21,TP-Link_68CE,-87,4
2025-04-13 10:33:30,SWARAJ,-54,6
2025-04-13 10:33:30,Airtel_Nitin Rohom Patil,-86,3
2025-04-13 10:33:30,HEMLATA,-86,11
2025-04-13 10:33:30,TP-Link_68CE,-90,4
2025-04-13 10:33:39,SWARAJ,-56,6
2025-04-13 10:33:39,Airtel_Nitin Rohom Patil,-81,3
2025-04-13 10:33:39,TP-Link_68CE,-83,4
2025-04-13 10:33:39,HEMLATA,-85,11
2025-04-13 10:33:48,SWARAJ,-56,6
2025-04-13 10:33:48,Airtel_Nitin Rohom Patil,-79,3
2025-04-13 10:33:48,HEMLATA,-82,11
2025-04-13 10:33:48,TP-Link_68CE,-85,4
2025-04-13 10:33:57,SWARAJ,-56,6
2025-04-13 10:33:57,Airtel_Nitin Rohom Patil,-81,3
2025-04-13 10:33:57,HEMLATA,-83,11
2025-04-13 10:33:57,TP-Link_68CE,-89,4
2025-04-13 10:34:06,SWARAJ,-56,6
2025-04-13 10:34:06,Airtel_Nitin Rohom Patil,-80,3
2025-04-13 10:34:06,HEMLATA,-80,11
2025-04-13 10:34:06,TP-Link_68CE,-94,4
2025-04-13 10:34:15,SWARAJ,-55,6
2025-04-13 10:34:15,Airtel_Nitin Rohom Patil,-77,3
2025-04-13 10:34:15,HEMLATA,-80,11
2025-04-13 10:34:15,TP-Link_68CE,-82,4
2025-04-13 10:34:23,SWARAJ,-55,6
2025-04-13 10:34:23,HEMLATA,-79,11
2025-04-13 10:34:23,TP-Link_68CE,-85,4
2025-04-13 10:34:32,SWARAJ,-55,6
2025-04-13 10:34:32,Airtel_Nitin Rohom Patil,-76,3
2025-04-13 10:34:32,HEMLATA,-78,11
2025-04-13 10:34:32,TP-Link_68CE,-86,4
2025-04-13 10:34:41,SWARAJ,-55,6
2025-04-13 10:34:41,Airtel_Nitin Rohom Patil,-75,3
2025-04-13 10:34:41,TP-Link_68CE,-78,4
2025-04-13 10:34:41,HEMLATA,-80,11
2025-04-13 10:34:50,SWARAJ,-55,6
2025-04-13 10:34:50,Airtel_Nitin Rohom Patil,-75,3
2025-04-13 10:34:50,HEMLATA,-79,11
2025-04-13 10:34:50,TP-Link_68CE,-82,4
2025-04-13 10:34:59,SWARAJ,-55,6
2025-04-13 10:34:59,Airtel_Nitin Rohom Patil,-77,3
2025-04-13 10:34:59,HEMLATA,-78,11
2025-04-13 10:35:08,SWARAJ,-56,6
2025-04-13 10:35:08,HEMLATA,-79,11
2025-04-13 10:35:08,Airtel_Nitin Rohom Patil,-80,3
2025-04-13 10:35:17,SWARAJ,-56,6
2025-04-13 10:35:17,HEMLATA,-81,11
2025-04-13 10:35:17,Airtel_Nitin Rohom Patil,-89,3
2025-04-13 10:35:26,SWARAJ,-55,6
2025-04-13 10:35:26,HEMLATA,-81,11
2025-04-13 10:35:26,Airtel_Nitin Rohom Patil,-94,3
2025-04-13 10:35:35,SWARAJ,-55,6
2025-04-13 10:35:35,HEMLATA,-83,11
2025-04-13 10:35:35,Airtel_Nitin Rohom Patil,-88,3
2025-04-13 10:35:35,TP-Link_68CE,-90,4
2025-04-13 10:35:43,SWARAJ,-56,6
2025-04-13 10:35:43,Airtel_Nitin Rohom Patil,-82,3
2025-04-13 10:35:43,HEMLATA,-83,11
2025-04-13 10:35:43,TP-Link_68CE,-90,4
2025-04-13 10:35:52,SWARAJ,-52,6
2025-04-13 10:35:52,Airtel_Nitin Rohom Patil,-75,3
2025-04-13 10:35:52,TP-Link_68CE,-87,4
2025-04-13 10:35:52,Rajendra,-95,10
2025-04-13 10:36:01,SWARAJ,-53,6
2025-04-13 10:36:01,HEMLATA,-78,11
2025-04-13 10:36:01,TP-Link_68CE,-81,4
2025-04-13 10:36:10,SWARAJ,-54,6
2025-04-13 10:36:10,Airtel_Nitin Rohom Patil,-78,3
2025-04-13 10:36:10,HEMLATA,-80,11
2025-04-13 10:36:19,SWARAJ,-54,6
2025-04-13 10:36:19,Airtel_Nitin Rohom Patil,-77,3
2025-04-13 10:36:19,HEMLATA,-81,11
2025-04-13 10:36:28,SWARAJ,-51,6
2025-04-13 10:36:28,HEMLATA,-78,11
2025-04-13 10:36:28,TP-Link_68CE,-84,4
2025-04-13 10:36:36,SWARAJ,-52,6
2025-04-13 10:36:36,Airtel_Nitin Rohom Patil,-82,3
2025-04-13 10:36:36,HEMLATA,-89,11
2025-04-13 10:36:45,SWARAJ,-53,6
2025-04-13 10:36:45,Airtel_Nitin Rohom Patil,-79,3
2025-04-13 10:36:45,HEMLATA,-85,11
2025-04-13 10:36:45,TP-Link_68CE,-87,4
2025-04-13 10:36:54,SWARAJ,-54,6
2025-04-13 10:36:54,HEMLATA,-86,11
2025-04-13 10:36:54,TP-Link_68CE,-89,4
2025-04-13 10:37:03,SWARAJ,-58,6
2025-04-13 10:37:03,Airtel_Nitin Rohom Patil,-79,3
2025-04-13 10:37:11,SWARAJ,-57,6
2025-04-13 10:37:11,HEMLATA,-84,11
2025-04-13 10:37:20,SWARAJ,-58,6
2025-04-13 10:37:20,HEMLATA,-86,11
2025-04-13 10:37:29,SWARAJ,-58,6
2025-04-13 10:37:29,Airtel_Nitin Rohom Patil,-82,3
2025-04-13 10:37:29,HEMLATA,-87,11
2025-04-13 10:37:29,TP-Link_68CE,-94,4
2025-04-13 10:37:38,SWARAJ,-56,6
2025-04-13 10:37:38,HEMLATA,-81,11
2025-04-13 10:37:47,SWARAJ,-55,6
2025-04-13 10:37:47,HEMLATA,-82,11
2025-04-13 10:37:47,Airtel_Nitin Rohom Patil,-85,3
2025-04-13 10:37:47,TP-Link_68CE,-91,4
2025-04-13 10:37:55,SWARAJ,-55,6
2025-04-13 10:37:55,HEMLATA,-85,11
2025-04-13 10:37:55,TP-Link_68CE,-92,4
2025-04-13 10:38:04,SWARAJ,-55,6
2025-04-13 10:38:04,HEMLATA,-82,11
2025-04-13 10:38:04,Airtel_Nitin Rohom Patil,-87,3
2025-04-13 10:38:13,SWARAJ,-55,6
2025-04-13 10:38:13,Airtel_Nitin Rohom Patil,-85,3
2025-04-13 10:38:13,TP-Link_68CE,-90,4
2025-04-13 10:38:22,SWARAJ,-51,6
2025-04-13 10:38:22,HEMLATA,-80,11
2025-04-13 10:38:22,Airtel_Nitin Rohom Patil,-84,3
2025-04-13 10:38:22,TP-Link_68CE,-85,4
2025-04-13 10:38:22,YUVARAJ,-93,4
2025-04-13 10:38:31,SWARAJ,-51,6
2025-04-13 10:38:31,HEMLATA,-82,11
2025-04-13 10:38:31,Airtel_Nitin Rohom Patil,-83,3
2025-04-13 10:38:31,YUVARAJ,-97,4
2025-04-13 10:38:40,SWARAJ,-54,6
2025-04-13 10:38:40,HEMLATA,-81,11
2025-04-13 10:38:40,TP-Link_68CE,-89,4
2025-04-13 10:38:40,YUVARAJ,-96,4
2025-04-13 10:38:49,SWARAJ,-54,6
2025-04-13 10:38:49,HEMLATA,-81,11
2025-04-13 10:38:49,Airtel_Nitin Rohom Patil,-88,3
2025-04-13 10:38:49,YUVARAJ,-96,4
2025-04-13 10:38:57,SWARAJ,-53,6
2025-04-13 10:38:57,HEMLATA,-81,11
2025-04-13 10:39:06,SWARAJ,-54,6
2025-04-13 10:39:06,HEMLATA,-81,11
2025-04-13 10:39:06,Airtel_Nitin Rohom Patil,-87,3
2025-04-13 10:39:15,SWARAJ,-52,6
2025-04-13 10:39:15,Airtel_Nitin Rohom Patil,-84,3
2025-04-13 10:39:15,TP-Link_68CE,-88,4
2025-04-13 10:39:15,YUVARAJ,-93,4
2025-04-13 10:39:23,SWARAJ,-53,6
2025-04-13 10:39:23,HEMLATA,-81,11
2025-04-13 10:39:32,SWARAJ,-55,6
2025-04-13 10:39:32,Airtel_Nitin Rohom Patil,-87,3
2025-04-13 10:39:32,TP-Link_68CE,-91,4
2025-04-13 10:39:32,YUVARAJ,-96,4
2025-04-13 10:39:41,SWARAJ,-56,6
2025-04-13 10:39:41,Airtel_Nitin Rohom Patil,-86,3
2025-04-13 10:39:41,TP-Link_68CE,-91,4
2025-04-13 10:39:41,YUVARAJ,-99,4
2025-04-13 10:39:50,SWARAJ,-58,6
2025-04-13 10:39:50,HEMLATA,-82,11
2025-04-13 10:39:50,Airtel_Nitin Rohom Patil,-86,3
2025-04-13 10:39:50,TP-Link_68CE,-89,4
2025-04-13 10:39:59,SWARAJ,-57,6
2025-04-13 10:39:59,HEMLATA,-83,11
2025-04-13 10:39:59,Airtel_Nitin Rohom Patil,-89,3
2025-04-13 10:40:08,SWARAJ,-55,6
2025-04-13 10:40:08,HEMLATA,-78,11
2025-04-13 10:40:08,Airtel_Nitin Rohom Patil,-86,3
2025-04-13 10:40:08,TP-Link_68CE,-92,4
2025-04-13 10:40:17,SWARAJ,-56,6
2025-04-13 10:40:17,HEMLATA,-83,11
2025-04-13 10:40:17,TP-Link_68CE,-91,4
2025-04-13 10:40:25,SWARAJ,-56,6
2025-04-13 10:40:25,HEMLATA,-85,11
2025-04-13 10:40:25,TP-Link_68CE,-95,4
2025-04-13 10:40:34,SWARAJ,-55,6
2025-04-13 10:40:34,HEMLATA,-82,11
2025-04-13 10:40:43,SWARAJ,-55,6
2025-04-13 10:40:43,HEMLATA,-85,11
2025-04-13 10:40:51,SWARAJ,-55,6
2025-04-13 10:40:51,HEMLATA,-83,11
2025-04-13 10:40:51,TP-Link_68CE,-92,4
2025-04-13 10:41:00,SWARAJ,-57,6
2025-04-13 10:41:00,HEMLATA,-84,11
2025-04-13 10:41:00,TP-Link_68CE,-92,4
2025-04-13 10:41:09,SWARAJ,-57,6
2025-04-13 10:41:09,HEMLATA,-84,11
2025-04-13 10:41:17,SWARAJ,-57,6
2025-04-13 10:41:26,SWARAJ,-55,6
2025-04-13 10:41:26,Airtel_Nitin Rohom Patil,-86,3
2025-04-13 10:41:26,TP-Link_68CE,-91,4
2025-04-13 10:41:35,SWARAJ,-56,6
2025-04-13 10:41:35,HEMLATA,-83,11
2025-04-13 10:41:35,Airtel_Nitin Rohom Patil,-91,3
2025-04-13 10:41:44,SWARAJ,-51,6
2025-04-13 10:41:44,HEMLATA,-80,11
2025-04-13 10:41:44,Airtel_Nitin Rohom Patil,-84,3
2025-04-13 10:41:44,TP-Link_68CE,-87,4
2025-04-13 10:41:44,YUVARAJ,-94,4
2025-04-13 10:41:52,SWARAJ,-53,6
2025-04-13 10:41:52,HEMLATA,-83,11
2025-04-13 10:41:52,TP-Link_68CE,-89,4
2025-04-13 10:41:52,YUVARAJ,-95,4
2025-04-13 10:42:01,SWARAJ,-51,6
2025-04-13 10:42:01,HEMLATA,-81,11
2025-04-13 10:42:10,SWARAJ,-52,6
2025-04-13 10:42:10,HEMLATA,-81,11
2025-04-13 10:42:10,Airtel_Nitin Rohom Patil,-86,3
2025-04-13 10:42:18,SWARAJ,-54,6
2025-04-13 10:42:18,HEMLATA,-82,11
2025-04-13 10:42:27,SWARAJ,-54,6
2025-04-13 10:42:27,HEMLATA,-83,11
2025-04-13 10:42:27,Airtel_Nitin Rohom Patil,-86,3
2025-04-13 10:42:27,TP-Link_68CE,-93,4
2025-04-13 10:42:27,YUVARAJ,-100,4
2025-04-13 10:42:36,SWARAJ,-55,6
2025-04-13 10:42:36,HEMLATA,-83,11
2025-04-13 10:42:36,Airtel_Nitin Rohom Patil,-90,3
2025-04-13 10:42:36,TP-Link_68CE,-91,4
2025-04-13 10:42:45,SWARAJ,-55,6
2025-04-13 10:42:45,Airtel_Nitin Rohom Patil,-87,3
2025-04-13 10:42:45,TP-Link_68CE,-90,4
2025-04-13 10:42:54,SWARAJ,-54,6
2025-04-13 10:42:54,HEMLATA,-84,11
2025-04-13 10:42:54,Airtel_Nitin Rohom Patil,-87,3
2025-04-13 10:42:54,TP-Link_68CE,-92,4
2025-04-13 10:42:54,YUVARAJ,-96,4
2025-04-13 10:43:03,SWARAJ,-55,6
2025-04-13 10:43:03,HEMLATA,-84,11
2025-04-13 10:43:12,SWARAJ,-55,6
2025-04-13 10:43:12,HEMLATA,-83,11
2025-04-13 10:43:12,TP-Link_68CE,-90,4
2025-04-13 10:43:20,SWARAJ,-54,6
2025-04-13 10:43:20,Airtel_Nitin Rohom Patil,-87,3
2025-04-13 10:43:20,TP-Link_68CE,-94,4
2025-04-13 10:43:20,YUVARAJ,-100,4
2025-04-13 10:43:29,SWARAJ,-55,6
2025-04-13 10:43:29,HEMLATA,-83,11
2025-04-13 10:43:38,SWARAJ,-54,6
2025-04-13 10:43:38,HEMLATA,-84,11
2025-04-13 10:43:38,Airtel_Nitin Rohom Patil,-89,3
2025-04-13 10:43:38,TP-Link_68CE,-91,4
2025-04-13 10:43:47,SWARAJ,-55,6
2025-04-13 10:43:47,HEMLATA,-84,11
2025-04-13 10:43:47,TP-Link_68CE,-90,4
2025-04-13 10:43:56,SWARAJ,-54,6
2025-04-13 10:43:56,HEMLATA,-86,11
2025-04-13 10:43:56,TP-Link_68CE,-92,4
2025-04-13 10:44:04,SWARAJ,-53,6
2025-04-13 10:44:04,Airtel_Nitin Rohom Patil,-88,3
2025-04-13 10:44:04,TP-Link_68CE,-91,4
2025-04-13 10:44:13,SWARAJ,-54,6
2025-04-13 10:44:13,Airtel_Nitin Rohom Patil,-87,3
2025-04-13 10:44:13,TP-Link_68CE,-90,4
2025-04-13 10:44:22,SWARAJ,-54,6
2025-04-13 10:44:22,HEMLATA,-84,11
2025-04-13 10:44:22,TP-Link_68CE,-91,4
2025-04-13 10:44:31,SWARAJ,-50,6
2025-04-13 10:44:31,HEMLATA,-81,11
2025-04-13 10:44:31,Airtel_Nitin Rohom Patil,-83,3
2025-04-13 10:44:31,TP-Link_68CE,-89,4
2025-04-13 10:44:31,YUVARAJ,-93,4
2025-04-13 10:44:40,SWARAJ,-52,6
2025-04-13 10:44:40,Airtel_Nitin Rohom Patil,-84,3
2025-04-13 10:44:40,TP-Link_68CE,-90,4
2025-04-13 10:44:40,Rajendra,-98,10
2025-04-13 10:44:49,SWARAJ,-53,6
2025-04-13 10:44:49,Airtel_Nitin Rohom Patil,-85,3
2025-04-13 10:44:49,TP-Link_68CE,-89,4
2025-04-13 10:44:49,YUVARAJ,-95,4
2025-04-13 10:44:57,SWARAJ,-55,6
2025-04-13 10:44:57,HEMLATA,-83,11
2025-04-13 10:45:06,SWARAJ,-53,6
2025-04-13 10:45:06,HEMLATA,-84,11
2025-04-13 10:45:06,Airtel_Nitin Rohom Patil,-86,3
2025-04-13 10:45:15,SWARAJ,-54,6
2025-04-13 10:45:15,HEMLATA,-85,11
2025-04-13 10:45:15,TP-Link_68CE,-90,4
2025-04-13 10:45:23,SWARAJ,-54,6
2025-04-13 10:45:23,TP-Link_68CE,-90,4
2025-04-13 10:45:32,SWARAJ,-55,6
2025-04-13 10:45:32,HEMLATA,-85,11
2025-04-13 10:45:32,TP-Link_68CE,-91,4
2025-04-13 10:45:41,SWARAJ,-54,6
2025-04-13 10:45:41,HEMLATA,-84,11
2025-04-13 10:45:41,Airtel_Nitin Rohom Patil,-87,3
2025-04-13 10:45:41,TP-Link_68CE,-93,4
2025-04-13 10:46:28,SWARAJ,-54,6
2025-04-13 10:46:28,SWARAJ,-53,6
2025-04-13 10:46:28,HEMLATA,-80,11
2025-04-13 10:46:28,SWARAJ,-53,6
2025-04-13 10:46:28,Airtel_Nitin Rohom Patil,-83,3
2025-04-13 10:46:28,HEMLATA,-83,11
2025-04-13 10:46:28,Rajendra,-97,10
2025-04-13 10:46:28,SWARAJ,-57,6
2025-04-13 10:46:28,TP-Link_68CE,-84,4
2025-04-13 10:46:28,HEMLATA,-85,11
2025-04-13 10:46:28,SWARAJ,-53,6
2025-04-13 10:46:28,Airtel_Nitin Rohom Patil,-79,3
2025-04-13 10:46:28,TP-Link_68CE,-82,4
2025-04-13 10:46:28,HEMLATA,-83,11
2025-04-13 10:46:28,Rajendra,-95,10
2025-04-13 10:46:28,YUVARAJ,-96,4
2025-04-13 10:46:34,SWARAJ,-59,6
2025-04-13 10:46:34,HEMLATA,-82,11
2025-04-13 10:46:42,SWARAJ,-52,6
2025-04-13 10:46:42,HEMLATA,-79,11
2025-04-13 10:46:51,SWARAJ,-55,6
2025-04-13 10:46:51,HEMLATA,-83,11
2025-04-13 10:47:00,SWARAJ,-56,6
2025-04-13 10:47:00,HEMLATA,-81,11
2025-04-13 10:47:08,SWARAJ,-60,6
2025-04-13 10:47:17,SWARAJ,-60,6
2025-04-13 10:47:17,Airtel_Nitin Rohom Patil,-82,3
2025-04-13 10:47:17,HEMLATA,-83,11
2025-04-13 10:47:26,SWARAJ,-57,6
2025-04-13 10:47:26,Airtel_Nitin Rohom Patil,-82,3
2025-04-13 10:47:26,HEMLATA,-87,11
2025-04-13 10:47:26,TP-Link_68CE,-91,4
2025-04-13 10:47:34,SWARAJ,-59,6
2025-04-13 10:47:34,HEMLATA,-83,11
2025-04-13 10:47:34,TP-Link_68CE,-90,4
2025-04-13 10:47:43,SWARAJ,-60,6
2025-04-13 10:47:43,HEMLATA,-81,11
2025-04-13 10:47:52,SWARAJ,-56,6
2025-04-13 10:47:52,Airtel_Nitin Rohom Patil,-81,3
2025-04-13 10:47:52,HEMLATA,-82,11
2025-04-13 10:48:01,SWARAJ,-57,6
2025-04-13 10:48:01,Airtel_Nitin Rohom Patil,-79,3
2025-04-13 10:48:01,HEMLATA,-82,11
2025-04-13 10:48:09,SWARAJ,-56,6
2025-04-13 10:48:09,HEMLATA,-82,11
2025-04-13 10:48:18,SWARAJ,-57,6
2025-04-13 10:48:18,Airtel_Nitin Rohom Patil,-80,3
2025-04-13 10:48:18,HEMLATA,-83,11
2025-04-13 10:48:18,TP-Link_68CE,-94,4
2025-04-13 10:48:27,HEMLATA,-82,11
2025-04-13 10:48:35,SWARAJ,-57,6
2025-04-13 10:48:35,Airtel_Nitin Rohom Patil,-79,3
2025-04-13 10:48:35,HEMLATA,-83,11
2025-04-13 10:48:44,SWARAJ,-59,6
2025-04-13 10:48:44,Airtel_Nitin Rohom Patil,-80,3
2025-04-13 10:48:44,HEMLATA,-82,11
2025-04-13 10:48:44,TP-Link_68CE,-90,4
2025-04-13 10:48:44,YUVARAJ,-94,4
2025-04-13 10:48:53,SWARAJ,-60,6
2025-04-13 10:48:53,HEMLATA,-82,11
2025-04-13 10:49:02,SWARAJ,-59,6
2025-04-13 10:49:02,HEMLATA,-83,11
2025-04-13 10:49:02,TP-Link_68CE,-88,4
2025-04-13 10:49:10,SWARAJ,-58,6
2025-04-13 10:49:10,HEMLATA,-81,11
2025-04-13 10:49:19,SWARAJ,-60,6
2025-04-13 10:49:19,Airtel_Nitin Rohom Patil,-80,3
2025-04-13 10:49:19,HEMLATA,-83,11
2025-04-13 10:49:19,TP-Link_68CE,-92,4
2025-04-13 10:49:28,SWARAJ,-63,6
2025-04-13 10:49:28,Airtel_Nitin Rohom Patil,-82,3
2025-04-13 10:49:28,HEMLATA,-84,11
2025-04-13 10:49:28,TP-Link_68CE,-94,4
2025-04-13 10:49:37,SWARAJ,-60,6
2025-04-13 10:49:37,Airtel_Nitin Rohom Patil,-84,3
2025-04-13 10:49:37,TP-Link_68CE,-95,4
2025-04-13 10:49:46,SWARAJ,-62,6
2025-04-13 10:49:46,HEMLATA,-86,11
2025-04-13 10:49:46,Airtel_Nitin Rohom Patil,-88,3
2025-04-13 10:49:55,SWARAJ,-64,6
2025-04-13 10:49:55,HEMLATA,-87,11
2025-04-13 10:49:55,TP-Link_68CE,-96,4
2025-04-13 10:50:04,SWARAJ,-61,6
2025-04-13 10:50:04,Airtel_Nitin Rohom Patil,-90,3
2025-04-13 10:50:04,HEMLATA,-91,11
2025-04-13 10:50:12,SWARAJ,-54,6
2025-04-13 10:50:12,HEMLATA,-80,11
2025-04-13 10:50:21,SWARAJ,-57,6
2025-04-13 10:50:21,HEMLATA,-80,11
2025-04-13 10:50:21,TP-Link_68CE,-82,4
2025-04-13 10:50:21,YUVARAJ,-94,4
2025-04-13 10:50:30,SWARAJ,-61,6
2025-04-13 10:50:30,Airtel_Nitin Rohom Patil,-79,3
2025-04-13 10:50:30,HEMLATA,-81,11
2025-04-13 10:50:39,SWARAJ,-57,6
2025-04-13 10:50:39,Airtel_Nitin Rohom Patil,-80,3
2025-04-13 10:50:39,HEMLATA,-88,11
2025-04-13 10:50:39,TP-Link_68CE,-91,4
2025-04-13 10:50:47,SWARAJ,-55,6
2025-04-13 10:50:47,HEMLATA,-77,11
2025-04-13 10:50:47,Airtel_Nitin Rohom Patil,-80,3
2025-04-13 10:50:56,SWARAJ,-58,6
2025-04-13 10:50:56,HEMLATA,-82,11
2025-04-13 10:50:56,TP-Link_68CE,-92,4
2025-04-13 10:51:05,SWARAJ,-54,6
2025-04-13 10:51:05,HEMLATA,-78,11
2025-04-13 10:51:05,Airtel_Nitin Rohom Patil,-81,3
2025-04-13 10:51:05,TP-Link_68CE,-82,4
2025-04-13 10:51:14,SWARAJ,-55,6
2025-04-13 10:51:14,HEMLATA,-79,11
2025-04-13 10:51:14,TP-Link_68CE,-86,4
2025-04-13 10:51:23,SWARAJ,-55,6
2025-04-13 10:51:23,HEMLATA,-83,11
2025-04-13 10:51:31,SWARAJ,-57,6
2025-04-13 10:51:31,HEMLATA,-83,11
2025-04-13 10:51:31,Airtel_Nitin Rohom Patil,-90,3
2025-04-13 10:51:40,SWARAJ,-56,6
2025-04-13 10:51:49,SWARAJ,-51,6
2025-04-13 10:51:49,HEMLATA,-80,11
2025-04-13 10:51:49,TP-Link_68CE,-84,4
2025-04-13 10:51:57,SWARAJ,-52,6
2025-04-13 10:51:57,HEMLATA,-80,11
2025-04-13 10:51:57,TP-Link_68CE,-84,4
2025-04-13 10:51:57,YUVARAJ,-97,4
2025-04-13 10:52:06,SWARAJ,-54,6
2025-04-13 10:52:15,SWARAJ,-55,6
2025-04-13 10:52:15,HEMLATA,-82,11
2025-04-13 10:52:15,TP-Link_68CE,-86,4
2025-04-13 10:52:15,Airtel_Nitin Rohom Patil,-87,3
2025-04-13 10:52:15,YUVARAJ,-98,4
2025-04-13 10:52:24,SWARAJ,-54,6
2025-04-13 10:52:24,Airtel_Nitin Rohom Patil,-82,3
2025-04-13 10:52:24,HEMLATA,-82,11
2025-04-13 10:52:24,TP-Link_68CE,-90,4
2025-04-13 10:52:33,SWARAJ,-57,6
2025-04-13 10:52:33,Airtel_Nitin Rohom Patil,-86,3
2025-04-13 10:52:33,HEMLATA,-86,11
2025-04-13 10:52:33,TP-Link_68CE,-87,4
2025-04-13 10:52:42,SWARAJ,-55,6
2025-04-13 10:52:42,Airtel_Nitin Rohom Patil,-83,3
2025-04-13 10:52:42,HEMLATA,-86,11
2025-04-13 10:52:42,TP-Link_68CE,-89,4
